Species,Clade,social_system,range_size,pre_var_among,pre_var_within,tmp,dtr,str,pre,body_mass,abundance,X95..Lower.CI,X95..Upper.CI
Struthio_camelus,Paleognathae,0,9259259.043,1.597012336,2.439037343,24.51033411,14.91475687,10.70142819,34.93380984,111000,1473534,16328,128266252
Rhea_americana,Paleognathae,1,6537549.664,2.306394025,2.694592685,22.24652027,11.77777379,8.350147458,97.50199804,23000,1222934,14451,120610212
Rhea_pennata,Paleognathae,0,670035.533,1.724267916,1.767712327,9.497782051,11.81554916,14.25045779,17.35773083,23900,909831,10772,76374058
Casuarius_casuarius,Paleognathae,0,394352.7442,2.565581759,2.854622167,26.2461957,9.038687293,2.279547252,254.4698995,44000,30797,357,3111650
Casuarius_bennetti,Paleognathae,0,396486.3779,2.553487467,2.729724531,23.69121167,13.41260317,1.610114498,274.6167702,34999.99,3317,33,288267
Casuarius_unappendiculatus,Paleognathae,0,185350.5822,2.50172507,2.706420866,26.45289279,8.836216522,1.143106129,238.0082337,46073.85,11959,119,947589
Dromaius_novaehollandiae,Paleognathae,0,4235748.764,2.161096742,2.252443821,19.96343844,13.82469909,14.89150188,37.60512005,34093.25,2128327,24355,195242855
Apteryx_australis,Paleognathae,1,9857.993908,2.599168873,2.439389086,5.786069489,5.392944574,10.27783356,274.9338318,2320.51,729,8,68564
Apteryx_owenii,Paleognathae,0,35.16838851,2.461788177,2.493078375,13.11873646,7.911000061,9.404833603,122.0720444,1238.29,1,0,108
Apteryx_haastii,Paleognathae,0,39570.18141,2.706699147,2.685236019,7.533966597,8.861058207,11.48799038,264.8180174,2022.68,377,4,33144
Tinamus_tao,Paleognathae,0,3810484.552,2.100011896,2.997935182,25.72290528,11.14096304,2.795196974,164.3679095,1600.1,560678,6747,47197665
Tinamus_solitarius,Paleognathae,0,1069608.942,2.432113065,2.674157367,21.09340439,10.63831312,7.788840856,119.6604338,1386.41,253360,2905,20847370
Tinamus_osgoodi,Paleognathae,0,28701.74079,2.650055265,2.967664719,21.31495838,11.27584743,2.696249986,222.3939102,1285,947,10,82613
Tinamus_major,Paleognathae,0,7672718.386,2.327226805,2.950046651,25.80793921,10.13641734,2.462120463,188.2229255,1026.21,987534,11265,95253012
Tinamus_guttatus,Paleognathae,0,3971186.795,2.228870692,2.937192977,26.14227798,10.30905206,2.153977979,196.866485,686.18,540234,6381,48383443
Nothocercus_bonapartei,Paleognathae,0,137927.208,2.57658883,2.764056303,20.05386376,10.86535456,1.627295908,167.3547397,763,46944,474,4076352
Nothocercus_julius,Paleognathae,0,139147.9556,2.387149607,2.635162935,15.22835966,12.68716309,1.4796007,104.5321688,674.5,37037,398,3538514
Nothocercus_nigrocapillus,Paleognathae,0,206296.7807,2.282367993,2.737925485,17.58394117,13.08713566,3.231197961,103.6852661,586,70288,797,6574987
Crypturellus_berlepschi,Paleognathae,0,59534.33789,2.932860511,2.997882094,25.60176268,8.856250104,1.299801571,406.5506127,516.83,354,4,33227
Crypturellus_cinereus,Paleognathae,0,5924779.184,2.299615029,2.952325072,26.06437742,10.01195342,2.190002577,194.799662,506.63,1813324,21873,173966617
Crypturellus_soui,Paleognathae,0,11151222.76,2.305867487,2.931477734,25.51408039,10.53495679,2.834894142,165.5255213,216.16,2991861,29791,275916056
Crypturellus_ptaritepui,Paleognathae,0,1885.286411,2.681402802,3.11549592,20.49861145,10.28121567,1.779166639,233.7970505,411.51,NA,NA,NA
Crypturellus_obsoletus,Paleognathae,0,1841826.268,2.417230996,2.737498355,21.51609383,10.99596161,6.379762532,135.8443756,443.4,709155,9209,67404096
Crypturellus_cinnamomeus,Paleognathae,0,661411.7597,2.381292317,2.892426928,23.35466394,12.34673262,6.360435142,122.2964829,422,663986,6939,58657609
Crypturellus_undulatus,Paleognathae,0,8533511.589,2.259415581,2.938395817,25.61200844,10.76006806,3.238372842,170.0436947,564.42,2925439,31458,232166827
Crypturellus_transfasciatus,Paleognathae,0,41881.22033,1.606675347,2.572691393,24.38625959,12.45675017,3.771222162,46.7097415,283,7196,72,689229
Crypturellus_strigulosus,Paleognathae,0,2589981.447,1.957104865,3.031004058,26.07346533,11.20664568,2.556574735,166.2298721,430.58,566280,5620,49710359
Crypturellus_boucardi,Paleognathae,0,334426.9608,2.555696785,3.054627299,24.67142277,9.769979342,4.458513898,201.9570613,435.62,94680,1089,9373746
Crypturellus_kerriae,Paleognathae,0,18968.99827,2.742417129,3.115994151,25.18343061,8.499301084,1.522277784,387.7941676,411.51,175,2,14096
Crypturellus_erythropus,Paleognathae,0,1242529.51,2.43073462,2.93145793,25.95145032,9.384519479,2.038915414,156.4492639,485,305214,3278,28410011
Crypturellus_duidae,Paleognathae,0,131826.5585,2.566240311,2.931544527,26.07021626,9.883452851,2.128858737,217.6261179,426,54397,579,5353817
Crypturellus_noctivagus,Paleognathae,0,1469564.579,2.344673986,2.684248985,22.83542633,10.81815585,5.34518467,89.11161601,561.99,244656,2664,21886044
Crypturellus_atrocapillus,Paleognathae,0,120601.7715,2.575744177,2.979210187,24.23333549,10.58603654,4.790790607,193.5007921,453,275448,2774,26079381
Crypturellus_variegatus,Paleognathae,0,5436849.917,2.341684253,2.942217448,25.95972654,9.841132464,2.076886953,197.301754,378,1328314,15238,115990635
Crypturellus_brevirostris,Paleognathae,0,833118.7366,2.468096104,2.916361498,26.41784534,8.935458112,1.731830899,211.4622136,411.51,16416,191,1388940
Crypturellus_bartletti,Paleognathae,0,1611496.597,2.446909953,2.893031878,26.06949732,10.34286537,2.323970222,193.1110389,241,179858,2002,15466698
