bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
10.0,0.16,Social,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
10.0,0.16,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,7.106280247046429e-15,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0
10.0,0.16,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,1.3500655876382495e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,4.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,1.3174264602134078e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0
10.0,0.16,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,1.9952240823971328e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,4.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,1.877393859274408e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,6.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,1.6678510555961854e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,106.42,25.02692691296857,111.32518757800496,101.51481242199505,0.011768821199999994,0.02402637427068328,0.016477904062106544,0.007059738337893449,0.0045226689,0.008018604307521002,0.00609428647729861,0.002951051322701391,4.0,0.0,88.81,19.622280703322943,92.65589637764076,84.96410362235923
10.0,0.16,Social,2.0,36.95,49.7576703391121,46.702324258852755,27.19767574114725,0.011599295348837208,0.01933453560702779,0.01538879472348647,0.007809795974187947,0.005752189767441861,0.01083051678571633,0.007874932067581834,0.003629447467301888,4.0,2.5752107482846144e-14,30.62,40.53807592868709,38.56531694494932,22.674683055050675
10.0,0.16,Social,4.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,2.3680722180070814e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,6.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,2.0742098789077614e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,8.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,2.014389407504396e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,383.37,26.88909320399878,388.64016546724815,378.09983453275186,0.013553518399999995,0.021136880720208726,0.017696270928390313,0.009410765871609678,0.00423755023,0.004593045917551861,0.0051377706948748615,0.0033373297651251377,5.0,0.0,262.87,14.918213700037949,265.79391617963813,259.9460838203619
10.0,0.16,Social,2.0,362.31,54.02556353386343,372.89881596060854,351.72118403939146,0.01603495290000001,0.027386573513391983,0.021402622716960192,0.010667283083039826,0.005065380100000003,0.004921993394153672,0.006030073086077902,0.0041006871139221005,5.0,3.5339375863762494e-14,251.35,27.210429985577218,256.6831463196252,246.0168536803748
10.0,0.16,Social,4.0,331.56,103.8382891954134,351.91193086445986,311.20806913554014,0.015947100899999997,0.023746243866798158,0.020601279211414514,0.01129292258858548,0.004910192439999999,0.0054770428217942825,0.00598367311571752,0.003836711764282478,5.0,3.470082528043412e-14,231.43,53.36276885619785,241.8889105898469,220.97108941015307
10.0,0.16,Social,6.0,247.33,146.23773746398658,275.99207008708646,218.6679299129135,0.011561245051546392,0.020112647633977115,0.015503251582274426,0.007619238520818361,0.004048287608247421,0.0054837796724520535,0.005123088682441203,0.00297348653405364,5.0,3.843414236864123e-14,176.15,83.30082532604344,192.4766618809333,159.8233381190667
10.0,0.16,Social,8.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,2.6573790652261057e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,10.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,2.049964270132714e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,590.83,41.648372953777795,598.9929311647977,582.6670688352023,0.07224713980000003,0.11983002372103893,0.09573339306123826,0.0487608865387618,0.01168584889,0.012830224833790769,0.014200526768613591,0.009171171011386413,6.0,0.0,349.53,15.175938191756053,352.50442925220665,346.55557074779335
10.0,0.16,Social,2.0,583.53,65.4339755136057,596.3548236383547,570.7051763616453,0.06426832259999997,0.09418136938862444,0.08272753194724057,0.04580911325275939,0.010099081930000009,0.009691876039857095,0.011998654743058257,0.008199509116941759,6.0,4.631422626200121e-14,345.38,21.78842812136754,349.6504534734468,341.1095465265532
10.0,0.16,Social,4.0,577.09,114.86242055853455,599.6026209247588,554.5773790752413,0.04137918550000001,0.0684815756968882,0.05480132780291759,0.027957043197082438,0.00895167301,0.008828387170084561,0.010682005113142759,0.0072213409068572374,6.0,4.9926081051794746e-14,341.66,40.25846991627973,349.5505151730992,333.76948482690085
10.0,0.16,Social,6.0,554.25,174.15935898834815,588.3846073880237,520.1153926119762,0.033975601200000004,0.07439191902115665,0.04855614951723823,0.019395052882761776,0.00796556019,0.009438206820521013,0.009815414749277563,0.006115705630722435,6.0,4.6463518215060316e-14,325.34,59.12854133157692,336.92898123824034,313.75101876175967
10.0,0.16,Social,8.0,460.22,232.3538132793489,505.76051092902463,414.67948907097536,0.020577600200000004,0.03491590124593055,0.027420991146957903,0.013734209253042102,0.005500145280000002,0.006429707267967863,0.0067603447575755385,0.004239945802424466,6.0,4.1164632414595477e-14,278.06,95.22760314110609,296.72426739628554,259.39573260371446
10.0,0.16,Social,10.0,125.4,198.9183376426243,164.38727807193885,86.41272192806116,0.041952069500000015,0.10070737528937718,0.061690352510166885,0.022213786489833125,0.010506755825000002,0.0201331109879868,0.014452773099445856,0.006560738550554146,6.0,3.794659726192386e-14,81.76,117.61744088356969,104.81259499039247,58.707405009607534
10.0,0.16,Social,12.0,0.0,0.0,0.0,0.0,,,,,,,,,6.0,2.3682236708707504e-14,0.0,0.0,0.0,0.0
10.0,0.16,Social,0.0,727.13,67.66430134692648,740.3919594725128,713.8680405274872,0.2973746419,0.22174574936989774,0.34083601049180223,0.2539132733081978,0.0341891048,0.02119245208735014,0.038342749116293116,0.030035460483706887,7.0,0.0,393.02,16.061120757904785,396.16792184851465,389.87207815148537
10.0,0.16,Social,2.0,702.39,80.97610259773677,718.2610245951871,686.518975404813,0.32295911079999995,0.20950064869111207,0.3640204837411226,0.2818977378588773,0.0376089486,0.01912934342897367,0.0413582310464425,0.03385966615355751,7.0,5.4739397400517136e-14,385.99,20.15117614433461,389.93955798005544,382.0404420199445
10.0,0.16,Social,4.0,692.51,122.82511958064603,716.5832812673763,668.4367187326237,0.29237777620000005,0.19467714023189808,0.33053379484774725,0.25422175755225285,0.03411364163000002,0.01797941164291359,0.03763754158612917,0.03058974167387087,7.0,5.4878840118004336e-14,381.77,32.657267185115174,388.1707068021207,375.36929319787936
10.0,0.16,Social,6.0,702.19,174.84739060106102,736.4594591072017,667.9205408927983,0.1709040074999999,0.16403663679917138,0.20305459778074506,0.13875341721925474,0.02287441951999999,0.0161216950148106,0.026034213704800812,0.01971462533519917,7.0,4.8322911017640535e-14,378.44,46.80647818411464,387.613901220765,369.266098779235
10.0,0.16,Social,8.0,723.77,248.2683402850206,772.429700929839,675.110299070161,0.07307456119999999,0.11519730866193616,0.09565281898742828,0.050496303412571684,0.013249159320000007,0.01267163683814094,0.015732754522383013,0.010765564117617,7.0,4.7423044600125987e-14,373.46,67.66674515594792,386.7224384502832,360.19756154971674
10.0,0.16,Social,10.0,640.28,250.3562746216364,689.3489285432521,591.2110714567477,0.04915363200000001,0.06917602815882698,0.06271188448542872,0.0355953795145713,0.01099360599,0.010799549555690893,0.013110278824537013,0.008876933155462985,7.0,5.4509704253397214e-14,347.82,76.0943335603907,362.73421543823576,332.90578456176416
10.0,0.16,Social,12.0,407.59,343.3884067332325,474.89289152144926,340.28710847855064,0.031608021084337364,0.07475595743991582,0.04625991962111408,0.016956122547560647,0.0072072467710843375,0.009869016948323898,0.009141538564494808,0.005272954977673867,7.0,4.794383239614649e-14,229.1,145.38813569201582,257.5955511983466,200.60444880165338
10.0,0.16,Social,14.0,3.94,39.399999999999984,11.662258159999995,-3.782258159999997,0.00507614,,,,0.00101523,,,,7.0,2.746521159871003e-14,2.69,26.765162058168073,7.935875408817535,-2.555875408817533
10.0,0.16,Social,0.0,786.75,53.8423390534575,797.3029046220572,776.1970953779428,0.579593,0.17624323005374642,0.6141360386149062,0.5450499613850939,0.060567798,0.016184066179006456,0.06373981670844701,0.05739577929155298,8.0,0.0,414.14,13.152961643675544,416.7179331314985,411.5620668685015
10.0,0.16,Social,2.0,779.93,76.11053299197972,794.8473904685092,765.0126095314907,0.6009064900000002,0.14957493193649796,0.6302226381897988,0.5715903418102015,0.06325346899999999,0.014397253951920827,0.06607527894446225,0.06043165905553774,8.0,5.3622298179986566e-14,411.45,18.003541318307352,414.9786292856395,407.9213707143605
