bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Social,0.0,1397.22,35.19055773265541,1404.1172226295926,1390.3227773704075,0.01346753236,0.015972737574310628,0.016598131422709616,0.010336933297290383,0.003277893546000001,0.0022284411966659594,0.003714659998158221,0.002841127093841781,10.0,0.0,490.72,5.875508488633133,491.87157851194155,489.5684214880585
2.5,0.7,Social,2.0,1400.16,76.07156651682173,1415.0697531796577,1385.2502468203425,0.012192719190000005,0.01221309116269236,0.014586441090759522,0.009798997289240488,0.002911935338999999,0.0019747627459356094,0.003298981728057493,0.002524888949942505,10.0,7.009621041907377e-14,490.91,7.519434819186878,492.3837821545953,489.43621784540477
2.5,0.7,Social,4.0,1377.86,143.27468990605686,1405.9413234327035,1349.7786765672963,0.013787269690000006,0.013168589508476243,0.016368265826739118,0.011206273553260893,0.00317369871,0.0018006324961044493,0.0035266161969594863,0.002820781223040514,10.0,7.205772647670048e-14,488.61,11.652377439818881,490.8938240296457,486.3261759703543
2.5,0.7,Social,6.0,1362.83,184.7284140832075,1399.036104138018,1326.623895861982,0.012196063199999994,0.01282570361957178,0.014709854936903032,0.009682271463096956,0.0031295836199999993,0.0021160922981481966,0.0035443300925047726,0.002714837147495226,10.0,6.92350129998765e-14,485.82,15.572013357302259,488.8720585587831,482.76794144121686
2.5,0.7,Social,8.0,1301.73,264.273192554656,1353.5265943572194,1249.9334056427806,0.017350587389999995,0.022155334868891707,0.021692953265097244,0.013008221514902748,0.0038126981400000023,0.0028319360329933266,0.004367747407496975,0.003257648872503029,10.0,7.88879602957099e-14,476.71,24.512158207713984,481.51429476494235,471.9057052350576
2.5,0.7,Social,10.0,1315.79,320.4135362971175,1378.5898996255044,1252.9901003744956,0.0174849062,0.0210709425111215,0.021614735076786774,0.013355077323213227,0.003689320540000001,0.003064054909820201,0.004289864271727085,0.003088776808272917,10.0,8.094556740185872e-14,474.55,35.29118161807564,481.466944548889,467.63305545111103
2.5,0.7,Social,12.0,1289.63,412.0285283591637,1370.3861082556941,1208.873891744306,0.024672846660000004,0.027058170372436505,0.02997615064358422,0.019369542676415788,0.005199017451,0.00396528731751208,0.005976199490198024,0.004421835411801975,10.0,8.101622813874487e-14,466.65,43.56498020199252,475.1885792856618,458.1114207143382
2.5,0.7,Social,14.0,1236.65,458.0330228269574,1326.4228235552016,1146.8771764447986,0.04059954584000001,0.05703670823291667,0.051778535321502034,0.02942055635849798,0.006413996690000002,0.006296999255235905,0.007648185874828921,0.005179807505171084,10.0,8.037062104685315e-14,455.19,54.82658023258427,465.9358123498977,444.4441876501023
2.5,0.7,Social,16.0,1140.09,464.54683240223414,1231.1395067822411,1049.0404932177587,0.18269796494,0.2153156622034285,0.22489905959548806,0.14049687028451197,0.02127888632999999,0.02113265701468437,0.025420811027312876,0.017136961632687103,10.0,7.052559718406535e-14,441.43,62.58198702502182,453.695844161751,429.16415583824903
2.5,0.7,Social,18.0,1190.86,652.4420330302505,1318.73628968261,1062.9837103173898,0.5962677839,0.28599401759354554,0.6523215817698717,0.5402139860301284,0.0612065586,0.027562751794999122,0.06660875872591338,0.055804358474086636,10.0,7.883611526206095e-14,424.39,93.34815423992056,442.68590217766916,406.0940978223308
2.5,0.7,Social,20.0,992.26,693.9601132542698,1128.2736839414292,856.2463160585708,0.5394220724468084,0.34314548665988354,0.6066773525083936,0.4721667923852232,0.057746176393616996,0.034431841886506644,0.06449469344874151,0.050997659338492485,10.0,7.757791169344583e-14,374.77,144.2729257345258,403.0469740614344,346.49302593856555
