bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
10.0,0.16,Social,0.0,985.62,45.48365895927055,994.5346334148447,976.7053665851553,0.72029093,0.11040979036960309,0.7419308514371968,0.6986510085628032,0.074959927,0.011355083321631012,0.07718548245273972,0.07273437154726027,10.0,0.0,453.28,9.087441884270842,455.0611058945263,451.49889410547365
10.0,0.16,Social,2.0,978.46,60.631095132528294,990.3434763740331,966.576523625967,0.72291679,0.12220267217178664,0.7468680738160504,0.6989655061839496,0.07515059800000001,0.01187832273673248,0.07747870649443772,0.0728224895055623,10.0,6.941480260384226e-14,452.43,10.352057766453973,454.45896605481704,450.401033945183
10.0,0.16,Social,4.0,971.37,102.05916832104715,991.3732295779193,951.3667704220807,0.70168134,0.12278197011334173,0.7257461641271226,0.6776165158728775,0.072877699,0.012273513340658912,0.07528326343012112,0.07047213456987889,10.0,6.884728302631112e-14,450.09,15.153940081708122,453.06011770183045,447.1198822981695
10.0,0.16,Social,6.0,1011.15,144.59224276103703,1039.4895590490894,982.8104409509107,0.6707856699999999,0.14049052059750752,0.6983213062712372,0.6432500337287625,0.06964717799999999,0.013271865402958945,0.0722484158402645,0.06704594015973549,10.0,7.752424964501075e-14,453.69,21.27284419159789,457.8594008793141,449.5205991206859
10.0,0.16,Social,8.0,961.6,195.18796949182965,999.8561393437085,923.3438606562916,0.6702986200000002,0.15295124304320054,0.7002765130119926,0.6403207269880078,0.06983744999999998,0.013903124794651618,0.07256241240850243,0.06711248759149753,10.0,7.745417875022637e-14,443.58,32.23326852802862,449.8976045917269,437.26239540827305
10.0,0.16,Social,10.0,936.13,243.09089853282242,983.7749409851984,888.4850590148015,0.63363394,0.13179455580062185,0.659465198476521,0.6078026815234789,0.06695669600000001,0.011977580359086203,0.06930425863109162,0.0646091333689084,10.0,7.387122849787942e-14,435.03,40.08901470477917,442.8873025616837,427.1726974383162
10.0,0.16,Social,12.0,959.8,268.50299548768277,1012.425620504802,907.1743794951979,0.56733921,0.15351262244067104,0.5974271313529307,0.5372512886470693,0.06000087699999997,0.015136003867999372,0.06296747926851393,0.05703427473148602,10.0,8.318330861359709e-14,434.51,48.07109214486395,443.9317610044616,425.0882389955384
10.0,0.16,Social,14.0,898.3,318.4567744164304,960.7163813412324,835.8836186587675,0.5115938500000001,0.15619957265842388,0.5422084039225896,0.48097929607741063,0.053885682,0.014883740759589387,0.05680284160741278,0.050968522392587215,10.0,7.426646548220923e-14,416.03,63.51180284010209,428.47808471416977,403.5819152858302
10.0,0.16,Social,16.0,971.78,442.2521694849459,1058.4598331112393,885.1001668887607,0.36810432170000007,0.17995761860518172,0.4033753670991887,0.33283327630081144,0.0412322913,0.017000944439681125,0.04456441520677752,0.03790016739322248,10.0,7.900486706341263e-14,413.17,84.57364305739702,429.74612957413484,396.5938704258652
10.0,0.16,Social,18.0,953.0,542.0450799397304,1059.2388843058993,846.7611156941007,0.1488949474747475,0.16140497575290563,0.18052974166440428,0.11726015328509069,0.020853915888888876,0.015883431200447065,0.023967011223824178,0.017740820553953575,10.0,6.773336333089128e-14,394.21,103.91287648795024,414.5765497052829,373.84345029471706
10.0,0.16,Social,20.0,633.01,662.9969528549502,762.95501597054,503.06498402946,0.08006637686567165,0.09749693828951339,0.09917542578143844,0.06095732794990487,0.013597246492537315,0.011930396198271532,0.015935561197972223,0.011258931787102407,10.0,7.194690412236104e-14,251.72,206.90123634236696,292.2718974786531,211.1681025213469
