bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Social,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
2.5,0.7,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,7.18616033239616e-15,0.0,0.0,0.0,0.0
2.5,0.7,Social,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0
2.5,0.7,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,1.3372868682203156e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,4.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,1.2869277865762194e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,0.0,1.5,8.618162639027373,3.1891288518638645,-0.18912885186386447,0.9663143333333334,0.029447841624359095,0.972086004279478,0.9605426623871888,0.3865256666666667,0.01177918020633582,0.3888343435820598,0.3842169897512736,3.0,0.0,1.28,7.329502029469667,2.716556011568749,-0.15655601156874874
2.5,0.7,Social,2.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,1.940674937773656e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,4.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,2.146907500197028e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,6.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,1.5411193668115694e-14,0.0,0.0,0.0,0.0
2.5,0.7,Social,0.0,381.03,63.05368163459426,393.38829460712657,368.6717053928734,0.9843089000000006,0.01431376480027444,0.9871143463713012,0.9815034536287,0.2816433910000001,0.0785971869881815,0.2970481566998105,0.2662386253001897,4.0,0.0,256.93,32.650652367142676,263.32941032161153,250.53058967838857
2.5,0.7,Social,2.0,377.74,72.11741548448347,391.874753812263,363.60524618773695,0.98529299,0.015395061140675969,0.9883103665613524,0.9822756134386476,0.280080367,0.07211831181646151,0.2942152964901039,0.2659454375098961,4.0,3.0950028817697196e-14,255.95,36.278471577507226,263.06044982669374,248.83955017330624
2.5,0.7,Social,4.0,272.64,143.8344671467654,300.8310377566843,244.4489622433157,0.9881567977528091,0.02204312514562996,0.992477170926102,0.983836424579516,0.2751312101123597,0.08104382054391378,0.29101550718121283,0.2592469130435065,4.0,2.6697156236616506e-14,191.26,89.81821864187687,208.86404750822075,173.65595249177926
