coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
10,0.16,Social,1,0,0,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,1,2,7.11E-15,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,2,0,0,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,2,2,1.35E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,2,4,1.32E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,3,0,0,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,3,2,2.00E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,3,4,1.88E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,3,6,1.67E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,4,0,0,106.42,25.02692691,111.3251876,101.5148124,0.011768821,0.024026374,0.016477904,0.007059738,0.004522669,0.008018604,0.006094286,0.002951051,88.81,19.6222807,92.65589638,84.96410362
10,0.16,Social,4,2,2.58E-14,36.95,49.75767034,46.70232426,27.19767574,0.011599295,0.019334536,0.015388795,0.007809796,0.00575219,0.010830517,0.007874932,0.003629447,30.62,40.53807593,38.56531694,22.67468306
10,0.16,Social,4,4,2.37E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,4,6,2.07E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,4,8,2.01E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,5,0,0,383.37,26.8890932,388.6401655,378.0998345,0.013553518,0.021136881,0.017696271,0.009410766,0.00423755,0.004593046,0.005137771,0.00333733,262.87,14.9182137,265.7939162,259.9460838
10,0.16,Social,5,2,3.53E-14,362.31,54.02556353,372.898816,351.721184,0.016034953,0.027386574,0.021402623,0.010667283,0.00506538,0.004921993,0.006030073,0.004100687,251.35,27.21042999,256.6831463,246.0168537
10,0.16,Social,5,4,3.47E-14,331.56,103.8382892,351.9119309,311.2080691,0.015947101,0.023746244,0.020601279,0.011292923,0.004910192,0.005477043,0.005983673,0.003836712,231.43,53.36276886,241.8889106,220.9710894
10,0.16,Social,5,6,3.84E-14,247.33,146.2377375,275.9920701,218.6679299,0.011561245,0.020112648,0.015503252,0.007619239,0.004048288,0.00548378,0.005123089,0.002973487,176.15,83.30082533,192.4766619,159.8233381
10,0.16,Social,5,8,2.66E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,5,10,2.05E-14,0,0,0,0,,,,,,,,,0,0,0,0
10,0.16,Social,6,0,0,590.83,41.64837295,598.9929312,582.6670688,0.07224714,0.119830024,0.095733393,0.048760887,0.011685849,0.012830225,0.014200527,0.009171171,349.53,15.17593819,352.5044293,346.5555707
10,0.16,Social,6,2,4.63E-14,583.53,65.43397551,596.3548236,570.7051764,0.064268323,0.094181369,0.082727532,0.045809113,0.010099082,0.009691876,0.011998655,0.008199509,345.38,21.78842812,349.6504535,341.1095465
10,0.16,Social,6,4,4.99E-14,577.09,114.8624206,599.6026209,554.5773791,0.041379186,0.068481576,0.054801328,0.027957043,0.008951673,0.008828387,0.010682005,0.007221341,341.66,40.25846992,349.5505152,333.7694848
