bK,CostRate,Status,Range,pSizeM,pSizeSD,pSizeU,pSizeL,cPropM,cPropSD,cPropU,cPropL,cDegM,cDegSD,cDegU,cDegL,resM,resSD,rSizeM,rSizeSD,rSizeU,rSizeL
2.5,0.7,Nonsocial,-0.2,1385.22,36.3872494,1392.35177,1378.08823,0,0,0,0,0,0,0,0,10,0,489.44,6.124246892,490.6403303,488.2396697
2.5,0.7,Nonsocial,1.8,1376.09,73.48181868,1390.492172,1361.687828,0,0,0,0,0,0,0,0,10,6.42E-14,488.37,7.893864706,489.9171691,486.8228309
2.5,0.7,Nonsocial,3.8,1384.56,148.6649219,1413.697789,1355.422211,0,0,0,0,0,0,0,0,10,7.13E-14,488.99,11.63227837,491.2698847,486.7101153
2.5,0.7,Nonsocial,5.8,1335.48,179.2233232,1370.607126,1300.352874,0,0,0,0,0,0,0,0,10,6.73E-14,482.79,15.86461156,485.8994068,479.6805932
2.5,0.7,Nonsocial,7.8,1364.58,254.3415416,1414.430027,1314.729973,0,0,0,0,0,0,0,0,10,7.47E-14,484.59,19.9870433,488.5073885,480.6726115
2.5,0.7,Nonsocial,9.8,1353.19,350.9655857,1421.977991,1284.402009,0,0,0,0,0,0,0,0,10,8.64E-14,478.52,29.92372971,484.3849433,472.6550567
2.5,0.7,Nonsocial,11.8,1316.38,379.8513473,1390.829497,1241.930503,0,0,0,0,0,0,0,0,10,9.06E-14,471.01,38.27126729,478.5110306,463.5089694
2.5,0.7,Nonsocial,13.8,1211.43,407.2415275,1291.247873,1131.612127,0,0,0,0,0,0,0,0,10,7.51E-14,455.1,57.97956537,466.4637861,443.7362139
2.5,0.7,Nonsocial,15.8,1276.11,550.600515,1384.025719,1168.194281,0,0,0,0,0,0,0,0,10,8.40E-14,450.93,69.83340963,464.6170969,437.2429031
2.5,0.7,Nonsocial,17.8,1057.69,474.9638518,1150.781205,964.5987949,0,0,0,0,0,0,0,0,10,6.50E-14,423.05,84.89916077,439.6899299,406.4100701
2.5,0.7,Nonsocial,19.8,700.16,683.3764468,834.0993234,566.2206766,0,0,0,0,0,0,0,0,10,7.39E-14,271.96,205.3261269,312.2031817,231.7168183
