coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
2.5,0.7,Social,1,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,1,2,7.19E-15,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,2,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,2,2,1.34E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,2,4,1.29E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,3,0,0,1.5,8.618162639,3.189128852,-0.189128852,0.966314333,0.029447842,0.972086004,0.960542662,0.386525667,0.01177918,0.388834344,0.38421699,1.28,7.329502029,2.716556012,-0.156556012
2.5,0.7,Social,3,2,1.94E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,3,4,2.15E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,3,6,1.54E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,4,0,0,381.03,63.05368163,393.3882946,368.6717054,0.9843089,0.014313765,0.987114346,0.981503454,0.281643391,0.078597187,0.297048157,0.266238625,256.93,32.65065237,263.3294103,250.5305897
2.5,0.7,Social,4,2,3.10E-14,377.74,72.11741548,391.8747538,363.6052462,0.98529299,0.015395061,0.988310367,0.982275613,0.280080367,0.072118312,0.294215296,0.265945438,255.95,36.27847158,263.0604498,248.8395502
2.5,0.7,Social,4,4,2.67E-14,272.64,143.8344671,300.8310378,244.4489622,0.988156798,0.022043125,0.992477171,0.983836425,0.27513121,0.081043821,0.291015507,0.259246913,191.26,89.81821864,208.8640475,173.6559525
2.5,0.7,Social,4,6,2.85E-14,182.79,173.1771613,216.7321002,148.8478998,0.990638215,0.013378447,0.993260343,0.988016088,0.353378785,0.079447092,0.368950129,0.337807441,127.31,110.7873364,149.0239191,105.5960809
2.5,0.7,Social,4,8,2.03E-14,0,0,0,0,,,,,,,,,0,0,0,0
2.5,0.7,Social,5,0,0,588.71,52.92233589,599.0825873,578.3374127,0.96700935,0.030319878,0.972951937,0.961066763,0.180800429,0.045574973,0.18973296,0.171867898,345.01,20.25906957,348.9807047,341.0392953
2.5,0.7,Social,5,2,3.22E-14,605.13,75.85454648,619.997218,590.262782,0.97048547,0.023710277,0.975132599,0.965838341,0.195476244,0.047248004,0.204736683,0.186215805,350.06,24.79347495,354.9194318,345.2005682
2.5,0.7,Social,5,4,3.80E-14,574.83,116.0840043,597.5820469,552.0779531,0.97569328,0.019724115,0.979559135,0.971827425,0.211666479,0.047847896,0.221044494,0.202288464,336.49,40.52048741,344.4318697,328.5481303
2.5,0.7,Social,5,6,3.92E-14,571.63,165.5266255,604.0726227,539.1873773,0.97764601,0.023235715,0.982200126,0.973091894,0.237608681,0.053131451,0.248022254,0.227195108,330.4,58.4005137,341.8462904,318.9537096
2.5,0.7,Social,5,8,4.18E-14,515.04,254.5660566,564.9340307,465.1459693,0.981482926,0.019185664,0.985243247,0.977722604,0.262741636,0.066482996,0.275772064,0.249711208,294.57,109.5646161,316.0442703,273.0957297
2.5,0.7,Social,5,10,3.59E-14,133.25,253.4720663,182.9296125,83.57038751,0.976163929,0.029354759,0.981917356,0.970410502,0.351546,0.05249887,0.36183559,0.34125641,77.06,137.6025305,104.0296006,50.09039939
2.5,0.7,Social,6,0,0,750.67,40.48869527,758.6056385,742.7343615,0.91783192,0.060075604,0.929606522,0.906057318,0.105821116,0.027365468,0.111184649,0.100457583,393.84,11.66680762,396.1266523,391.5533477
2.5,0.7,Social,6,2,4.68E-14,762.52,86.67313263,779.507622,745.532378,0.91947113,0.058432146,0.93092362,0.90801864,0.116936471,0.036739624,0.124137305,0.109735637,396.85,22.5088316,401.26165,392.43835
2.5,0.7,Social,6,4,4.66E-14,783.1,139.2555604,810.3935885,755.8064115,0.9239977,0.049666998,0.933732253,0.914263147,0.142013913,0.044172235,0.150671512,0.133356314,396.61,32.47857602,402.975684,390.244316
2.5,0.7,Social,6,6,4.78E-14,779.73,172.4367168,813.5269757,745.9330243,0.95189671,0.02931216,0.957641788,0.946151632,0.165696119,0.041721021,0.173873289,0.157518949,393.67,41.47458378,401.7988691,385.5411309
2.5,0.7,Social,6,8,4.88E-14,737.18,258.0033427,787.7477264,686.6122736,0.97120427,0.02854415,0.976798821,0.965609719,0.177297342,0.037360879,0.18461994,0.169974744,373.44,77.53790299,388.6371498,358.2428502
2.5,0.7,Social,6,10,4.09E-14,634.93,262.1655447,686.313503,583.546497,0.977000889,0.025473043,0.981993514,0.972008264,0.210893861,0.04680936,0.220068327,0.201719395,338.97,92.8717885,357.1725362,320.7674638
2.5,0.7,Social,6,12,3.71E-14,402.33,418.8601188,484.4250754,320.2349246,0.97310425,0.033164812,0.979604434,0.966604066,0.270493625,0.040918369,0.278513478,0.262473772,205.89,181.1783594,241.4003062,170.3796938
2.5,0.7,Social,7,0,0,923.98,37.03560395,931.238845,916.721155,0.709838618,0.183078803,0.745721405,0.673955832,0.072267521,0.017799556,0.07575617,0.068778872,432.13,10.03359856,434.0965492,430.1634508
2.5,0.7,Social,7,2,5.94E-14,928.97,68.32283068,942.3610289,915.5789711,0.77566741,0.123925815,0.799956424,0.751378396,0.078612254,0.011986673,0.080961599,0.076262909,433.99,14.27269771,436.7873974,431.1926026
2.5,0.7,Social,7,4,4.92E-14,889.94,124.0241765,914.2482921,865.6317079,0.84282911,0.100978775,0.862620586,0.823037634,0.084856282,0.010061694,0.086828338,0.082884226,424.08,24.44122747,428.8703926,419.2896074
2.5,0.7,Social,7,6,5.18E-14,904.98,181.1575563,940.4862289,869.4737711,0.89523389,0.075963882,0.910122537,0.880345243,0.090442999,0.006395764,0.091696546,0.089189452,422.24,33.97061083,428.8981174,415.5818826
2.5,0.7,Social,7,8,4.80E-14,843.36,241.4646604,890.6862042,796.0337958,0.91671609,0.069783968,0.930393496,0.903038684,0.100627215,0.023112711,0.105157223,0.096097207,404.87,50.12577281,414.694471,395.045529
2.5,0.7,Social,7,10,5.55E-14,842.25,288.4812329,898.7912831,785.7087169,0.93622038,0.055213776,0.947042081,0.925398679,0.155067358,0.042997585,0.16349473,0.146639986,398.85,62.71385413,411.1416896,386.5583104
2.5,0.7,Social,7,12,5.92E-14,893.06,372.2562878,966.0208923,820.0991077,0.96039796,0.034593864,0.967178232,0.953617687,0.180637987,0.032490154,0.18700594,0.174270034,398.32,87.25192032,415.4210623,381.2189377
2.5,0.7,Social,7,14,6.61E-14,695.07,496.4593681,792.3742489,597.7657511,0.942890549,0.116743551,0.965771865,0.920009233,0.217867027,0.048681242,0.227408375,0.208325678,314.35,167.3417685,347.1483842,281.5516158
2.5,0.7,Social,8,0,0,1031.25,30.68325474,1037.263807,1025.236193,0.037427522,0.055300497,0.048266221,0.026588824,0.006342487,0.006036099,0.007525541,0.005159434,450.5,8.668909966,452.1990751,448.8009249
2.5,0.7,Social,8,2,5.21E-14,1019.83,73.85148282,1034.304625,1005.355375,0.070727769,0.085116726,0.087410341,0.054045197,0.010098655,0.009348821,0.011930991,0.00826632,448.74,12.68039432,451.2253116,446.2546884
2.5,0.7,Social,8,4,5.63E-14,1024.3,145.5887733,1052.834875,995.7651246,0.083260716,0.112908892,0.105390452,0.06113098,0.010950712,0.011495736,0.013203835,0.008697589,447.96,21.8521944,452.2429514,443.6770486
2.5,0.7,Social,8,6,5.30E-14,953,175.8056204,987.4572687,918.5427313,0.184464173,0.192101113,0.2221153,0.146813047,0.020927791,0.019325726,0.024715563,0.017140018,433.67,29.98934978,439.5478046,427.7921954
2.5,0.7,Social,8,8,5.82E-14,984.89,237.3424366,1031.408263,938.3717369,0.622293419,0.258625839,0.672983153,0.571603686,0.063743251,0.025078291,0.068658506,0.058827997,435.3,39.999375,443.1397335,427.4602665
2.5,0.7,Social,8,10,6.46E-14,1047.24,307.1765563,1107.445499,987.0345008,0.8435304,0.116250043,0.86631499,0.82074581,0.084925328,0.011319605,0.08714393,0.082706726,441.06,44.36661357,449.7556965,432.3643035
2.5,0.7,Social,8,12,5.97E-14,1010.56,374.5080361,1083.962227,937.1577732,0.91563223,0.068846427,0.929125882,0.902138578,0.094516693,0.013114987,0.097087183,0.091946203,426.18,65.34254051,438.9869027,413.3730973
2.5,0.7,Social,8,14,6.02E-14,1003.44,465.8897932,1094.752722,912.1272777,0.91411023,0.082408226,0.930261946,0.897958514,0.158666985,0.0395753,0.166423601,0.150910369,411.01,92.50259402,429.1401754,392.8798246
2.5,0.7,Social,8,16,6.62E-14,800.58,550.428927,908.4620881,692.6979119,0.909521685,0.10989195,0.931060111,0.887983258,0.165351642,0.040024175,0.173196237,0.157507048,340.78,155.3304593,371.2242108,310.3357892
2.5,0.7,Social,9,0,0,1210.58,33.87087185,1217.218569,1203.941431,0.0154506,0.018737347,0.019123053,0.011778148,0.003723438,0.002818821,0.004275916,0.003170959,474.18,6.867867209,475.5260772,472.8339228
2.5,0.7,Social,9,2,5.58E-14,1204.56,71.15743251,1218.506601,1190.613399,0.018340037,0.018983611,0.022060757,0.014619318,0.004064847,0.002863036,0.004625991,0.003503702,473.77,9.119051486,475.5573013,471.9826987
2.5,0.7,Social,9,4,6.28E-14,1170.59,120.5095323,1194.209434,1146.970566,0.019806579,0.022986771,0.024311904,0.015301255,0.004329244,0.003409571,0.004997508,0.00366098,468.9,13.81629473,471.607944,466.192056
2.5,0.7,Social,9,6,6.80E-14,1177.8,199.2821461,1216.858583,1138.741417,0.025247539,0.034471968,0.03200392,0.018491157,0.004679496,0.004138178,0.005490564,0.003868428,465.87,24.14317916,470.6019762,461.1380238
2.5,0.7,Social,9,8,6.92E-14,1179.2,281.7930324,1234.43042,1123.96958,0.035641644,0.04536468,0.044532958,0.02675033,0.006036673,0.005054503,0.007027338,0.005046009,462.7,33.13080138,469.1935178,456.2064822
